timestamp,open,high,low,close,volume,spread
2024-09-01 22:00:00,2502.73,2504.77,2501.86,2504.306,0.4808,0.547
2024-09-01 22:15:00,2504.12,2504.578,2503.715,2504.05,0.1507,0.536
2024-09-01 22:30:00,2504.03,2504.496,2503.542,2504.21,0.271,0.407
2024-09-01 22:45:00,2504.19,2504.42,2503.23,2503.525,0.2073,0.376
2024-09-01 23:00:00,2503.53,2503.638,2502.22,2502.62,0.384,0.462
2024-09-01 23:15:00,2502.66,2503.28,2502.03,2502.81,0.1775,0.403
2024-09-01 23:30:00,2502.81,2503.785,2502.14,2502.995,0.344,0.403
2024-09-01 23:45:00,2502.98,2503.31,2502.114,2503.09,0.3233,0.421
2024-09-02 00:00:00,2503.08,2503.716,2502.54,2503.16,0.5314,0.431
2024-09-02 00:15:00,2503.09,2503.43,2502.595,2502.9,0.4131,0.433
2024-09-02 00:30:00,2502.94,2505.02,2502.895,2505.02,0.4195,0.409
2024-09-02 00:45:00,2505.03,2505.03,2501.252,2501.565,0.6196,0.403
2024-09-02 01:00:00,2501.572,2504.725,2499.276,2501.976,1.7283,0.42
2024-09-02 01:15:00,2501.975,2504.202,2501.83,2503.155,0.8087,0.437
2024-09-02 01:30:00,2503.205,2504.554,2497.14,2497.75,0.939,0.416
2024-09-02 01:45:00,2497.765,2499.16,2496.702,2498.054,0.9492,0.411
2024-09-02 02:00:00,2498.06,2498.368,2493.342,2494.13,1.4454,0.426
2024-09-02 02:15:00,2494.145,2495.681,2492.61,2492.67,0.5952,0.408
2024-09-02 02:30:00,2492.68,2493.66,2490.425,2490.835,1.4049,0.416
2024-09-02 02:45:00,2490.85,2492.88,2490.125,2492.038,1.058,0.415
2024-09-02 03:00:00,2492.035,2493.024,2491.465,2492.388,0.8194,0.41
2024-09-02 03:15:00,2492.298,2495.45,2491.68,2494.84,0.6852,0.386
2024-09-02 03:30:00,2494.86,2495.28,2493.928,2494.67,0.6701,0.418
2024-09-02 03:45:00,2494.665,2496.495,2494.635,2496.354,0.4647,0.401
2024-09-02 04:00:00,2496.359,2499.462,2496.354,2496.58,0.7339,0.398
2024-09-02 04:15:00,2496.575,2497.7,2496.245,2496.637,0.3984,0.41
2024-09-02 04:30:00,2496.616,2497.84,2496.616,2497.695,0.3533,0.424
2024-09-02 04:45:00,2497.69,2498.306,2496.336,2496.98,0.3671,0.413
