timestamp,open,high,low,close,volume,spread
2024-09-01,2502.73,2504.77,2501.86,2503.09,2.3386,0.444
2024-09-02,2503.08,2507.305,2490.125,2497.35,61.8905,0.397
2024-09-03,2497.334,2506.35,2473.444,2493.35,103.9068,0.39
2024-09-04,2493.31,2500.355,2471.872,2495.915,104.4795,0.397
2024-09-05,2495.976,2523.562,2493.878,2517.338,99.4913,0.388
2024-09-06,2517.37,2529.305,2485.2,2497.42,129.6227,0.392
2024-09-08,2498.0,2498.364,2495.62,2496.95,3.7127,0.445
2024-09-09,2496.98,2507.74,2485.63,2506.835,112.5319,0.384
2024-09-10,2506.87,2518.902,2500.204,2518.75,94.1237,0.391
2024-09-11,2518.722,2529.085,2501.024,2512.0,144.7924,0.403
2024-09-12,2511.984,2560.146,2511.085,2558.544,117.8702,0.4
2024-09-13,2558.54,2586.145,2556.83,2578.015,139.3679,0.405
2024-09-15,2579.02,2580.75,2577.618,2579.205,4.516,0.453
2024-09-16,2579.2,2589.695,2575.335,2583.775,104.5015,0.405
2024-09-17,2583.77,2587.03,2560.984,2574.095,117.9237,0.374
2024-09-18,2574.085,2600.256,2546.88,2559.354,142.3931,0.398
2024-09-19,2559.359,2594.915,2551.224,2587.326,167.5906,0.396
2024-09-20,2587.32,2625.774,2584.854,2622.1,162.4132,0.39
2024-09-22,2621.2,2622.95,2618.384,2620.35,4.2336,0.328
2024-09-23,2620.345,2634.905,2613.9,2626.405,138.8958,0.396
2024-09-24,2626.42,2664.39,2622.695,2658.248,158.4242,0.401
2024-09-25,2658.26,2670.575,2649.844,2656.405,124.0263,0.379
2024-09-26,2656.414,2685.595,2654.868,2672.705,162.9364,0.399
2024-09-27,2672.69,2674.314,2643.252,2658.425,191.2396,0.42
2024-09-29,2658.47,2665.116,2657.32,2663.616,6.4088,0.451
2024-09-30,2663.636,2666.036,2624.78,2635.764,147.7442,0.416
2024-10-01,2635.79,2673.162,2634.014,2660.406,115.7717,0.406
2024-10-02,2660.395,2663.418,2641.164,2660.335,101.1679,0.395
2024-10-03,2660.345,2663.005,2637.444,2655.84,94.2514,0.4
2024-10-04,2655.87,2670.204,2632.187,2653.78,104.196,0.407
2024-10-06,2651.338,2652.846,2649.375,2650.26,4.3438,0.44
2024-10-07,2650.295,2659.675,2637.826,2643.08,100.3972,0.396
2024-10-08,2643.1,2652.994,2604.78,2622.055,155.8924,0.404
