timestamp,open,high,low,close,volume,spread
2024-09-01 22:00:00,2502.73,2504.77,2501.86,2503.525,1.1098,0.467
2024-09-01 23:00:00,2503.53,2503.785,2502.03,2503.09,1.2288,0.422
2024-09-02 00:00:00,2503.08,2505.03,2501.252,2501.565,1.9836,0.419
2024-09-02 01:00:00,2501.572,2504.725,2496.702,2498.054,4.4252,0.421
2024-09-02 02:00:00,2498.06,2498.368,2490.125,2492.038,4.5035,0.416
2024-09-02 03:00:00,2492.035,2496.495,2491.465,2496.354,2.6394,0.404
2024-09-02 04:00:00,2496.359,2499.462,2496.245,2496.98,1.8527,0.411
2024-09-02 05:00:00,2497.0,2498.576,2495.35,2496.595,2.9542,0.416
2024-09-02 06:00:00,2496.58,2501.47,2495.965,2497.655,4.1433,0.395
2024-09-02 07:00:00,2497.67,2499.625,2496.25,2498.285,3.1647,0.385
2024-09-02 08:00:00,2498.255,2507.305,2497.345,2506.376,5.129,0.367
2024-09-02 09:00:00,2506.332,2506.665,2498.245,2499.004,4.3547,0.392
2024-09-02 10:00:00,2499.005,2502.12,2498.205,2499.272,3.3976,0.406
2024-09-02 11:00:00,2499.31,2500.325,2497.185,2499.851,3.4258,0.388
2024-09-02 12:00:00,2499.835,2503.28,2498.87,2501.351,3.7218,0.375
2024-09-02 13:00:00,2501.356,2502.348,2498.65,2500.002,4.6126,0.378
2024-09-02 14:00:00,2499.985,2502.55,2497.765,2502.088,3.8151,0.382
2024-09-02 15:00:00,2502.078,2502.51,2499.954,2501.644,2.971,0.343
2024-09-02 16:00:00,2501.649,2501.97,2498.715,2500.61,1.4987,0.346
2024-09-02 17:00:00,2500.58,2501.43,2498.882,2499.55,1.0575,0.391
2024-09-02 18:00:00,2499.56,2500.235,2498.89,2499.492,0.6554,0.483
2024-09-02 22:00:00,2499.8,2500.478,2497.61,2497.77,0.5518,0.441
2024-09-02 23:00:00,2497.8,2498.555,2496.528,2497.35,1.0329,0.423
2024-09-03 00:00:00,2497.334,2497.76,2495.047,2495.899,2.4263,0.411
2024-09-03 01:00:00,2495.859,2495.975,2489.743,2493.824,5.7651,0.405
2024-09-03 02:00:00,2493.845,2496.472,2492.47,2495.384,3.8795,0.421
2024-09-03 03:00:00,2495.29,2495.953,2493.149,2494.87,3.5353,0.397
2024-09-03 04:00:00,2494.838,2497.05,2494.004,2496.0,2.4482,0.389
2024-09-03 05:00:00,2495.99,2496.007,2492.854,2495.078,3.2345,0.409
2024-09-03 06:00:00,2495.095,2498.931,2492.86,2497.925,4.7024,0.387
2024-09-03 07:00:00,2497.895,2502.122,2496.67,2500.925,5.2765,0.373
2024-09-03 08:00:00,2500.9,2506.35,2500.66,2504.015,5.2218,0.369
2024-09-03 09:00:00,2504.034,2505.07,2500.946,2500.992,4.2546,0.384
2024-09-03 10:00:00,2501.006,2501.055,2492.758,2497.399,4.2906,0.388
2024-09-03 11:00:00,2497.38,2501.664,2484.784,2489.745,5.431,0.393
2024-09-03 12:00:00,2489.742,2502.28,2487.176,2493.324,8.2776,0.398
2024-09-03 13:00:00,2493.296,2497.715,2475.604,2480.05,10.6623,0.404
2024-09-03 14:00:00,2480.07,2485.72,2473.444,2478.41,10.7312,0.385
2024-09-03 15:00:00,2478.392,2489.594,2477.295,2488.458,5.48,0.388
2024-09-03 16:00:00,2488.465,2489.055,2484.012,2486.18,4.5519,0.381
2024-09-03 17:00:00,2485.965,2492.125,2485.582,2489.576,4.3095,0.378
2024-09-03 18:00:00,2489.565,2490.052,2487.141,2489.435,2.4943,0.368
2024-09-03 19:00:00,2489.38,2494.47,2489.08,2492.141,3.4522,0.349
2024-09-03 20:00:00,2492.127,2493.26,2491.425,2493.08,1.2011,0.321
2024-09-03 22:00:00,2493.0,2494.515,2492.16,2493.203,1.013,0.437
2024-09-03 23:00:00,2493.204,2494.739,2492.365,2493.35,1.2679,0.432
2024-09-04 00:00:00,2493.31,2495.088,2492.26,2492.416,2.742,0.42
2024-09-04 01:00:00,2492.38,2494.53,2491.375,2493.49,3.9699,0.423
2024-09-04 02:00:00,2493.48,2497.0,2492.486,2495.375,3.3591,0.41
2024-09-04 03:00:00,2495.354,2496.615,2493.59,2495.144,1.9883,0.416
2024-09-04 04:00:00,2495.155,2496.841,2494.548,2495.988,1.5135,0.411
2024-09-04 05:00:00,2496.0,2496.696,2492.805,2493.186,2.8597,0.401
2024-09-04 06:00:00,2493.172,2493.47,2483.755,2484.333,6.0122,0.383
2024-09-04 07:00:00,2484.335,2488.324,2482.044,2482.19,6.5841,0.397
2024-09-04 08:00:00,2482.18,2483.4,2472.622,2473.365,5.9709,0.39
2024-09-04 09:00:00,2473.38,2483.37,2471.872,2481.71,5.8493,0.378
2024-09-04 10:00:00,2481.695,2490.034,2481.175,2489.065,5.4256,0.393
2024-09-04 11:00:00,2489.06,2491.28,2486.8,2489.279,4.9671,0.377
2024-09-04 12:00:00,2489.29,2491.214,2485.558,2486.625,7.0159,0.382
2024-09-04 13:00:00,2486.614,2490.175,2482.125,2485.52,9.5715,0.406
2024-09-04 14:00:00,2485.54,2500.355,2485.07,2496.276,13.3625,0.379
2024-09-04 15:00:00,2496.302,2498.44,2492.866,2494.116,4.7716,0.387
